RISC-V Core AXI Test Log
Simulation Start:                    0

Cycle      0: PC=0xxxxxxxxx, Instr=0xxxxxxxxx, ALU=0xxxxxxxxx, Stall=x
Cycle    306: PC=0x00000078, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    310: PC=0x00000078, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    310: PC=0x00000078, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    314: PC=0x0000007c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    314: PC=0x0000007c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    318: PC=0x0000007c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    318: PC=0x0000007c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    322: PC=0x0000007c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    322: PC=0x00000080, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    326: PC=0x00000080, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    326: PC=0x00000080, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    330: PC=0x00000080, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    330: PC=0x00000080, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    334: PC=0x00000084, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    334: PC=0x00000084, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    338: PC=0x00000084, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    338: PC=0x00000084, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    342: PC=0x00000084, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    342: PC=0x00000088, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    346: PC=0x00000088, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    346: PC=0x00000088, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    350: PC=0x00000088, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    350: PC=0x00000088, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    354: PC=0x0000008c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    354: PC=0x0000008c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    358: PC=0x0000008c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    358: PC=0x0000008c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    362: PC=0x0000008c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    362: PC=0x00000090, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    366: PC=0x00000090, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    366: PC=0x00000090, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    370: PC=0x00000090, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    370: PC=0x00000090, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    374: PC=0x00000094, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    374: PC=0x00000094, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    378: PC=0x00000094, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    378: PC=0x00000094, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    382: PC=0x00000094, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    382: PC=0x00000098, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    386: PC=0x00000098, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    386: PC=0x00000098, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    390: PC=0x00000098, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    390: PC=0x00000098, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    394: PC=0x0000009c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    394: PC=0x0000009c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    398: PC=0x0000009c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    398: PC=0x0000009c, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    401: PC=0x0000009c, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    401: PC=0x000000a0, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    403: PC=0x000000a0, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    403: PC=0x000000a0, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    405: PC=0x000000a0, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    405: PC=0x000000a0, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    407: PC=0x000000a4, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    407: PC=0x000000a4, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    409: PC=0x000000a4, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    409: PC=0x000000a4, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    411: PC=0x000000a4, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    411: PC=0x000000a8, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    413: PC=0x000000a8, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    413: PC=0x000000a8, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    415: PC=0x000000a8, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    415: PC=0x000000a8, Instr=0x00000000, ALU=0x00000000, Stall=0
Cycle    417: PC=0x000000ac, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    417: PC=0x000000ac, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    419: PC=0x000000ac, Instr=0x00000000, ALU=0x00000000, Stall=1
Cycle    419: PC=0x000000ac, Instr=0x00000000, ALU=0x00000000, Stall=1

Simulation End:              3465000
Total Cycles:         420
